Nome,Nascimento,CPF,Email,Servidor,Setor,Salário,Filial,,Nome,João Martins
Luis Gualbino,6/17/1989,195.825.933-63,luisgualbino@outlook.com,outlook,Comercial,R$ 4.250,Rio De Janeiro,,,
Elaine Júnior,8/23/1971,349.480.482-14,elainejúnior@globo.com,globo,Administrativo,R$ 4.000,Minas Gerais,,,
Ezequiel Madeira,4/5/1992,383.973.439-91,ezequielmadeira@gmail.com,gmail,Marketing,R$ 24.500,Rio Grande Do Sul,,,
Tamiris Porfirio,3/6/1965,529.690.491-62,tamirisporfirio@gmail.com,gmail,Gestão,R$ 4.500,Rio De Janeiro,,,
Leonardo Duarte,4/27/1955,326.981.099-87,leonardoduarte@terra.com,terra,Comercial,R$ 3.000,Paraná,,,
Fagner Braz,11/13/1973,965.881.618-54,fagnerbraz@hotmail.com,hotmail,Gestão,R$ 6.750,São Paulo,,,
Thiago Inacio,8/31/1950,424.792.808-99,thiagoinacio@terra.com,terra,Gestão,R$ 9.250,Bahia,,,
Ester Leite,5/2/1963,591.773.584-21,esterleite@uol.com,uol,Marketing,R$ 4.750,Rio De Janeiro,,,
Tainara Vasques,3/19/1984,744.944.619-47,tainaravasques@gmail.com,gmail,Produção,R$ 7.500,Rondônia,,,
José Alencar,8/30/1965,761.840.400-39,joséalencar@globo.com,globo,Gestão,R$ 7.500,Rio Grande Do Sul,,,
Tomas Rodrigues,9/9/1996,260.842.526-34,tomasrodrigues@outlook.com,outlook,Gestão,R$ 6.250,Espírito Santo,,,
Josiane Pereira,2/16/1984,194.279.410-07,josianepereira@live.com,live,Financeiro,R$ 6.500,Amazonas,,,
Jean Barreto,4/30/1972,253.522.436-77,jeanbarreto@globo.com,globo,Marketing,R$ 2.750,Pernambuco,,,
Nadia Pedrosa,10/13/1985,484.496.862-15,nadiapedrosa@uol.com,uol,Marketing,R$ 4.750,Rio Grande Do Norte,,,
Andrew Neris,3/30/1998,481.096.549-94,andrewneris@terra.com,terra,Marketing,R$ 5.750,São Paulo,,,
Rodrigo Quevedo,1/21/1954,508.339.655-06,rodrigoquevedo@outlook.com,outlook,Marketing,R$ 8.250,Bahia,,,
Marina Gonçalves,10/17/1959,422.695.059-99,marinagonçalves@terra.com,terra,Administrativo,R$ 4.500,Sergipe,,,
Fernando Vasques,12/18/1968,496.631.831-77,fernandovasques@globo.com,globo,Gestão,R$ 6.750,Pará,,,
Gerson Fonseca,4/22/2000,412.390.224-61,gersonfonseca@gmail.com,gmail,Gestão,R$ 3.000,Rondônia,,,
Daniel Wolker,10/2/1982,824.506.202-80,danielwolker@gmail.com,gmail,Gestão,R$ 2.500,Bahia,,,
Marcio Maciel,2/1/1966,219.304.114-22,marciomaciel@outlook.com,outlook,Produção,R$ 6.000,Rio Grande Do Sul,,,
Cláudio Dias,9/15/1962,560.156.594-78,cláudiodias@globo.com,globo,Financeiro,R$ 16.500,Rio De Janeiro,,,
Leandro Rodrigues,6/11/1993,376.015.272-34,leandrorodrigues@hotmail.com,hotmail,Gestão,R$ 3.000,Rio De Janeiro,,,
Fábio Martorano,7/6/1998,105.958.959-09,fábiomartorano@uol.com,uol,Financeiro,R$ 11.750,Amazonas,,,
João Costa,1/20/1994,761.780.184-39,joãocosta@outlook.com,outlook,Financeiro,R$ 6.000,Pernambuco,,,
Renato Vaso,4/15/1987,544.006.421-04,renatovaso@live.com,live,Financeiro,R$ 6.250,Bahia,,,
Maria Ramos,8/27/1987,428.475.296-71,mariaramos@hotmail.com,hotmail,Comercial,R$ 8.500,Minas Gerais,,,
Danilo Corrêa,1/27/1969,427.666.553-42,danilocorrêa@outlook.com,outlook,Compras,R$ 2.500,Amazonas,,,
Caroline Alves,10/19/1962,796.178.248-32,carolinealves@globo.com,globo,Comercial,R$ 3.500,São Paulo,,,
Célio Santos,9/29/2002,441.421.998-59,céliosantos@gmail.com,gmail,Administrativo,R$ 6.000,Rio De Janeiro,,,
Marcus Chagas,5/23/1974,308.091.198-13,marcuschagas@globo.com,globo,Administrativo,R$ 2.500,Rio Grande Do Sul,,,
Pedro Silva,1/8/1989,386.637.061-43,pedrosilva@globo.com,globo,Comercial,R$ 28.000,Ceará,,,
José Lima,10/17/1980,588.118.646-51,josélima@gmail.com,gmail,Comercial,R$ 3.000,Distrito Federal,,,
Hygor Francotti,6/10/1998,595.808.053-77,hygorfrancotti@live.com,live,Produção,R$ 5.750,Minas Gerais,,,
Bernardo Rotondo,6/9/1962,626.280.632-27,bernardorotondo@outlook.com,outlook,Marketing,R$ 5.500,Amazonas,,,
Tiago Bianchi,1/24/1955,652.363.137-41,tiagobianchi@gmail.com,gmail,Gestão,R$ 5.250,Pernambuco,,,
Cesar Quintella,11/2/1954,459.667.401-27,cesarquintella@gmail.com,gmail,Compras,R$ 9.750,Minas Gerais,,,
Getulio Laube,7/1/1971,132.596.094-82,getuliolaube@gmail.com,gmail,Marketing,R$ 4.750,Minas Gerais,,,
Luciano Benitz,5/28/1959,120.259.743-16,lucianobenitz@terra.com,terra,Gestão,R$ 15.000,Pernambuco,,,
Francisco Burille,12/8/1970,411.877.383-82,franciscoburille@live.com,live,Financeiro,R$ 8.250,Rio De Janeiro,,,
Marcos Rodrigues,4/27/1983,485.946.650-35,marcosrodrigues@globo.com,globo,Gestão,R$ 5.000,Amazonas,,,
Adriano Curto,1/12/2000,571.481.722-72,adrianocurto@gmail.com,gmail,Comercial,R$ 2.500,Bahia,,,
Cristiane Frazão,3/14/1950,998.332.942-68,cristianefrazão@gmail.com,gmail,Marketing,R$ 2.500,Bahia,,,
Camila Gomes,4/7/1974,778.332.469-90,camilagomes@gmail.com,gmail,Administrativo,R$ 5.750,Minas Gerais,,,
Renato Moreira,2/26/1999,185.195.502-62,renatomoreira@gmail.com,gmail,Comercial,R$ 5.750,Rio Grande Do Norte,,,
Felipe Oliveira,12/19/1953,729.105.544-98,felipeoliveira@terra.com,terra,Comercial,R$ 8.250,Espírito Santo,,,
Luiz Júnior,5/19/1982,966.713.423-92,luizjúnior@globo.com,globo,Gestão,R$ 24.250,Bahia,,,
Cristiane Ferreira,2/27/1950,166.485.895-71,cristianeferreira@globo.com,globo,Marketing,R$ 6.250,Minas Gerais,,,
Elizabeth Fragoso,3/14/1974,533.356.971-15,elizabethfragoso@globo.com,globo,Produção,R$ 17.250,Bahia,,,
Alanna Nunes,11/28/1972,684.435.416-37,alannanunes@outlook.com,outlook,Gestão,R$ 2.750,Pará,,,
Nadia Cruzeiro,7/11/1994,984.163.888-21,nadiacruzeiro@live.com,live,Gestão,R$ 7.000,Pernambuco,,,
Amanda Ojeda,3/11/1963,455.108.699-34,amandaojeda@hotmail.com,hotmail,Marketing,R$ 4.500,Rio De Janeiro,,,
Vivian Sousa,3/21/1982,151.144.752-52,viviansousa@gmail.com,gmail,Comercial,R$ 3.500,Alagoas,,,
Josué Fischer,7/27/1981,231.801.692-66,josuéfischer@uol.com,uol,Marketing,R$ 3.750,Rio De Janeiro,,,
Vagner Garcia,5/23/1995,870.636.733-31,vagnergarcia@outlook.com,outlook,Gestão,R$ 6.750,Santa Catarina,,,
Aldair Estevam,7/10/1973,710.052.273-07,aldairestevam@hotmail.com,hotmail,Comercial,R$ 7.750,Rio Grande Do Sul,,,
Cibele Soares,11/5/1978,313.836.617-04,cibelesoares@live.com,live,Administrativo,R$ 3.750,Minas Gerais,,,
Adriano Pereira,8/22/1979,783.424.296-72,adrianopereira@globo.com,globo,Gestão,R$ 24.000,Rondônia,,,
Alessandra Candido,11/6/1984,804.672.659-30,alessandracandido@uol.com,uol,Marketing,R$ 8.250,São Paulo,,,
Joao Gomes,12/6/1979,333.118.645-51,joaogomes@gmail.com,gmail,Marketing,R$ 13.000,Paraná,,,
Samuel Lobo,7/30/1964,978.810.491-92,samuellobo@uol.com,uol,Marketing,R$ 6.000,Rio De Janeiro,,,
Paula Cruz,8/3/1973,215.731.805-14,paulacruz@gmail.com,gmail,Marketing,R$ 27.750,Alagoas,,,
Tatiana Loures,11/26/1981,175.653.558-02,tatianaloures@gmail.com,gmail,Administrativo,R$ 5.000,São Paulo,,,
Lino Silva,11/29/1958,534.226.580-53,linosilva@live.com,live,Comercial,R$ 13.750,Bahia,,,
Adriano Silva,1/13/1964,447.386.902-99,adrianosilva@hotmail.com,hotmail,Financeiro,R$ 26.500,Rio Grande Do Sul,,,
Eric Sotelo,2/4/1958,282.237.965-92,ericsotelo@gmail.com,gmail,Marketing,R$ 19.000,Minas Gerais,,,
Monalisa Leite,4/23/1993,954.626.236-62,monalisaleite@gmail.com,gmail,Administrativo,R$ 5.250,Rondônia,,,
Natália Soares,4/3/1995,182.346.659-25,natáliasoares@gmail.com,gmail,Produção,R$ 6.000,Paraná,,,
Luciano Matias,1/23/1951,910.887.306-85,lucianomatias@outlook.com,outlook,Comercial,R$ 5.250,Rondônia,,,
Luana Alves,2/8/1956,481.498.122-51,luanaalves@uol.com,uol,Marketing,R$ 5.500,Pará,,,
Fabiana Júnior,1/1/1951,971.333.684-11,fabianajúnior@hotmail.com,hotmail,Gestão,R$ 8.500,Minas Gerais,,,
Alexandre Gonzaga,4/28/2000,662.413.912-21,alexandregonzaga@terra.com,terra,Produção,R$ 26.750,São Paulo,,,
Matheus Gonçalves,11/15/1962,179.106.024-41,matheusgonçalves@globo.com,globo,Financeiro,R$ 5.000,Acre,,,
Fabio Nascimento,6/10/1991,164.072.349-61,fabionascimento@gmail.com,gmail,Gestão,R$ 24.250,Pará,,,
Anderson Pacheco,11/13/1995,499.298.867-20,andersonpacheco@terra.com,terra,Financeiro,R$ 20.000,Acre,,,
Jussara Alves,9/25/1966,168.631.271-24,jussaraalves@gmail.com,gmail,Comercial,R$ 6.750,Rio De Janeiro,,,
Marcelino Costa,12/27/2000,578.054.949-78,marcelinocosta@gmail.com,gmail,Marketing,R$ 19.250,Rondônia,,,
John Kozlinski,11/9/1951,755.086.934-99,johnkozlinski@globo.com,globo,Comercial,R$ 25.750,Bahia,,,
Angelica Nascimento,7/11/1953,802.832.736-76,angelicanascimento@terra.com,terra,Marketing,R$ 4.750,Paraná,,,
Ezequiel Dalcin,12/10/1971,997.317.296-14,ezequieldalcin@globo.com,globo,Gestão,R$ 19.500,Paraná,,,
Lucas Pinto,7/27/1962,750.193.157-09,lucaspinto@terra.com,terra,Comercial,R$ 23.750,Bahia,,,
Thaís Addan,8/11/1959,770.561.057-24,thaísaddan@gmail.com,gmail,Gestão,R$ 4.500,São Paulo,,,
Thaiana Castro,3/16/1982,504.653.961-77,thaianacastro@gmail.com,gmail,Gestão,R$ 3.250,Bahia,,,
Lucas Junges,11/6/1966,113.427.271-14,lucasjunges@gmail.com,gmail,Financeiro,R$ 3.500,Rio De Janeiro,,,
Antonio Fernandes,6/23/1998,840.868.218-42,antoniofernandes@globo.com,globo,Financeiro,R$ 2.750,Rio De Janeiro,,,
Pedro Soares,2/11/1981,345.085.202-47,pedrosoares@gmail.com,gmail,Administrativo,R$ 15.250,Paraná,,,
Gloria Sperandio,2/24/1959,468.559.535-88,gloriasperandio@live.com,live,Marketing,R$ 6.750,Pernambuco,,,
Sandro Matos,5/17/1957,479.510.233-46,sandromatos@gmail.com,gmail,Marketing,R$ 6.000,Pernambuco,,,
Juliano Martorano,11/23/1976,151.978.644-81,julianomartorano@terra.com,terra,Comercial,R$ 6.000,Rio De Janeiro,,,
Wilson Silva,6/11/2002,175.249.090-33,wilsonsilva@live.com,live,Financeiro,R$ 20.500,Bahia,,,
Wanessa Gonçalves,6/7/1973,643.678.109-69,wanessagonçalves@gmail.com,gmail,Administrativo,R$ 7.500,Rio Grande Do Sul,,,
Paulo Soares,2/5/1993,155.216.625-39,paulosoares@terra.com,terra,Produção,R$ 3.000,São Paulo,,,
Iago Caldas,10/18/1996,665.322.191-33,iagocaldas@gmail.com,gmail,Produção,R$ 25.250,Rio De Janeiro,,,
Regis Soares,11/29/1969,547.361.335-63,regissoares@gmail.com,gmail,Comercial,R$ 17.500,São Paulo,,,
Alexandre Misquita,9/24/1995,849.247.167-81,alexandremisquita@live.com,live,Gestão,R$ 13.500,Minas Gerais,,,
Letícia Perdigão,6/18/1995,804.760.992-51,letíciaperdigão@globo.com,globo,Gestão,R$ 4.000,Minas Gerais,,,
Simone Silva,7/30/1995,286.905.016-62,simonesilva@uol.com,uol,Marketing,R$ 11.750,Amapá,,,
Luis Dalcin,1/17/1959,780.014.163-55,luisdalcin@uol.com,uol,Comercial,R$ 6.750,Bahia,,,
Glaucia Dantas,12/19/1966,924.638.203-06,glauciadantas@terra.com,terra,Comercial,R$ 4.250,Amazonas,,,
Danilo Ouríques,11/15/1953,617.269.910-14,daniloouríques@uol.com,uol,Marketing,R$ 9.000,São Paulo,,,
Thiago Araújo,6/20/1999,600.964.582-38,thiagoaraújo@gmail.com,gmail,Financeiro,R$ 7.250,Ceará,,,
Thais Pinto,2/4/1994,763.402.741-38,thaispinto@gmail.com,gmail,Marketing,R$ 7.250,Bahia,,,
Luis Kochem,1/17/1993,120.743.069-83,luiskochem@uol.com,uol,Comercial,R$ 25.500,Rio De Janeiro,,,
Eduardo Dutra,9/5/2001,851.756.952-36,eduardodutra@gmail.com,gmail,Comercial,R$ 13.750,Ceará,,,
Ananda Santos,3/26/1977,649.666.000-88,anandasantos@terra.com,terra,Compras,R$ 6.250,Minas Gerais,,,
Sueli Borges,6/26/1957,962.133.143-08,sueliborges@outlook.com,outlook,Comercial,R$ 4.250,Minas Gerais,,,
Maria Pereira,3/7/1989,681.617.407-66,mariapereira@gmail.com,gmail,Financeiro,R$ 4.750,São Paulo,,,
Aldo Maradei,11/8/1990,501.374.518-03,aldomaradei@terra.com,terra,Comercial,R$ 6.500,Bahia,,,
Augusto Neto,4/20/1951,557.088.056-11,augustoneto@outlook.com,outlook,Gestão,R$ 3.000,Roraima,,,
Erickson Tramontini,11/5/1985,859.963.091-21,ericksontramontini@live.com,live,Comercial,R$ 8.250,Rio Grande Do Sul,,,
Jackson Bernardo,3/11/1995,647.231.978-88,jacksonbernardo@outlook.com,outlook,Comercial,R$ 6.500,Bahia,,,
Julio Aparecido,7/21/1960,514.012.816-06,julioaparecido@hotmail.com,hotmail,Comercial,R$ 6.000,Amazonas,,,
Bruno Barbosa,12/18/1952,303.200.188-97,brunobarbosa@gmail.com,gmail,Comercial,R$ 3.500,Tocantins,,,
Michel Nascimento,6/27/1950,523.431.137-25,michelnascimento@gmail.com,gmail,Comercial,R$ 4.250,Rondônia,,,
Andre Lima,11/17/1990,908.788.104-71,andrelima@globo.com,globo,Marketing,R$ 4.000,Rondônia,,,
Thais Rodrigues,2/14/1954,126.948.700-30,thaisrodrigues@gmail.com,gmail,Marketing,R$ 28.000,Minas Gerais,,,
Vladimir Siqueira,6/17/1959,944.724.950-91,vladimirsiqueira@terra.com,terra,Gestão,R$ 3.250,Paraná,,,
Heitor Gomes,12/3/1982,624.574.717-62,heitorgomes@globo.com,globo,Financeiro,R$ 4.500,Rio De Janeiro,,,
Ricardo Mércio,12/1/1978,759.292.906-26,ricardomércio@live.com,live,Comercial,R$ 2.750,Minas Gerais,,,
Reinaldo Meza,2/5/1959,988.302.247-78,reinaldomeza@uol.com,uol,Marketing,R$ 5.750,Bahia,,,
Elaine Costa,9/5/1971,194.660.471-61,elainecosta@globo.com,globo,Marketing,R$ 10.750,Amazonas,,,
Yago Marques,1/18/1960,783.967.259-64,yagomarques@live.com,live,Administrativo,R$ 3.250,São Paulo,,,
Breno Alves,1/1/1962,227.589.306-42,brenoalves@terra.com,terra,Comercial,R$ 6.750,Minas Gerais,,,
Aline Tavares,2/29/1960,833.306.975-71,alinetavares@gmail.com,gmail,Marketing,R$ 5.750,Rio De Janeiro,,,
Eliane Monteiro,1/23/1974,894.631.521-25,elianemonteiro@uol.com,uol,Comercial,R$ 8.000,Rio De Janeiro,,,
Raphael Gomes,8/6/1954,116.580.841-10,raphaelgomes@gmail.com,gmail,Marketing,R$ 4.500,Amazonas,,,
José Cappello,3/10/1992,725.956.341-44,josécappello@globo.com,globo,Marketing,R$ 7.250,Tocantins,,,
Robson Lopes,4/1/1963,739.858.864-37,robsonlopes@live.com,live,Comercial,R$ 4.250,Rio Grande Do Sul,,,
Desiree Afonso,4/1/1989,765.573.452-14,desireeafonso@globo.com,globo,Financeiro,R$ 2.750,Rio De Janeiro,,,
André Santos,12/22/1955,353.740.360-71,andrésantos@outlook.com,outlook,Comercial,R$ 3.000,Piauí,,,
João Hecht,12/19/1974,100.676.584-26,joãohecht@terra.com,terra,Marketing,R$ 12.000,Bahia,,,
Murilo Leite,9/9/1968,640.519.902-35,muriloleite@globo.com,globo,Marketing,R$ 7.500,Rio De Janeiro,,,
Renata Madeira,2/20/1967,926.784.331-29,renatamadeira@uol.com,uol,Comercial,R$ 3.750,Amazonas,,,
Alison Pereira,1/25/1971,378.477.546-12,alisonpereira@gmail.com,gmail,Marketing,R$ 14.250,Paraná,,,
Pedro Moura,1/2/1994,442.944.091-97,pedromoura@globo.com,globo,Comercial,R$ 6.000,Ceará,,,
Aline Seixas,9/21/1967,935.051.895-15,alineseixas@gmail.com,gmail,Marketing,R$ 7.250,Bahia,,,
Antonio Quevedo,9/29/1969,456.447.839-67,antonioquevedo@globo.com,globo,Comercial,R$ 6.000,Rio Grande Do Sul,,,
José Corrêa,2/25/1963,337.516.579-11,josécorrêa@hotmail.com,hotmail,Financeiro,R$ 6.000,Rondônia,,,
Eduardo Maradei,5/10/1956,865.825.966-45,eduardomaradei@gmail.com,gmail,Marketing,R$ 8.000,Rio De Janeiro,,,
Wenilson Ferreira,9/13/1986,487.461.493-77,wenilsonferreira@gmail.com,gmail,Comercial,R$ 22.500,Rio De Janeiro,,,
Gabriel Santos,8/20/1997,824.264.934-62,gabrielsantos@gmail.com,gmail,Marketing,R$ 4.000,Minas Gerais,,,
Rodolfo Pereira,9/28/1970,513.794.088-97,rodolfopereira@terra.com,terra,Financeiro,R$ 27.500,São Paulo,,,
André Oliveira,5/10/1995,623.222.813-21,andréoliveira@globo.com,globo,Gestão,R$ 24.250,Pernambuco,,,
Hannah Alves,6/21/1997,552.639.667-24,hannahalves@live.com,live,Gestão,R$ 4.750,Pernambuco,,,
Paulo Fernandes,9/24/1961,604.697.381-83,paulofernandes@gmail.com,gmail,Marketing,R$ 6.750,Paraíba,,,
Patrícia Martins,9/16/1988,944.527.382-76,patríciamartins@outlook.com,outlook,Comercial,R$ 3.750,Bahia,,,
Diogenes Schulze,10/14/1993,223.247.530-81,diogenesschulze@globo.com,globo,Financeiro,R$ 3.750,São Paulo,,,
Augusto Fusco,8/25/1954,643.139.473-42,augustofusco@hotmail.com,hotmail,Comercial,R$ 7.750,Rio De Janeiro,,,
Mariana Silva,7/24/1971,224.802.038-36,marianasilva@uol.com,uol,Marketing,R$ 24.000,Minas Gerais,,,
Daniel Rodrigues,4/19/1966,162.292.328-09,danielrodrigues@terra.com,terra,Comercial,R$ 2.500,Bahia,,,
Daniel Pena,9/1/1990,316.390.247-40,danielpena@globo.com,globo,Marketing,R$ 5.500,Rio De Janeiro,,,
Daniele Lima,9/14/1955,420.629.578-04,danielelima@gmail.com,gmail,Comercial,R$ 18.500,Sergipe,,,
Luccas Godoi,3/22/1979,341.249.351-82,luccasgodoi@terra.com,terra,Administrativo,R$ 15.250,Rondônia,,,
Pamela Agostini,11/25/1958,601.652.182-28,pamelaagostini@gmail.com,gmail,Produção,R$ 3.000,Espírito Santo,,,
Eliane Cruzeiro,1/18/1955,881.460.758-02,elianecruzeiro@globo.com,globo,Comercial,R$ 6.500,Amazonas,,,
Monique Gama,11/29/1957,446.387.011-81,moniquegama@terra.com,terra,Gestão,R$ 16.750,Rio De Janeiro,,,
Tatiane Filho,3/26/1966,185.356.362-55,tatianefilho@gmail.com,gmail,Marketing,R$ 7.000,Rio Grande Do Sul,,,
Erika Rosa,2/10/1953,354.628.201-46,erikarosa@live.com,live,Gestão,R$ 5.000,Rondônia,,,
Flávia Lima,12/4/1977,777.333.503-13,flávialima@terra.com,terra,Administrativo,R$ 8.000,Bahia,,,
Roberto Souza,10/24/1986,579.280.995-96,robertosouza@terra.com,terra,Gestão,R$ 3.250,Paraná,,,
Nathalia Pereira,7/19/1955,899.308.258-16,nathaliapereira@gmail.com,gmail,Marketing,R$ 5.000,São Paulo,,,
Patricia Sanchdx,7/15/1993,410.936.736-09,patriciasanchdx@uol.com,uol,Administrativo,R$ 4.750,Bahia,,,
Renan Vasconcelos,12/9/1976,461.754.339-88,renanvasconcelos@outlook.com,outlook,Comercial,R$ 7.750,Paraíba,,,
Tatiane Silva,1/22/1995,765.193.075-20,tatianesilva@gmail.com,gmail,Produção,R$ 19.500,Sergipe,,,
Vanderson Castro,12/31/1983,423.811.275-41,vandersoncastro@hotmail.com,hotmail,Compras,R$ 7.250,Acre,,,
Leonardo Pinto,6/10/1964,929.788.260-82,leonardopinto@live.com,live,Marketing,R$ 12.000,Rio De Janeiro,,,
Hugo Oliveira,4/18/1975,237.885.580-25,hugooliveira@terra.com,terra,Marketing,R$ 7.000,Rondônia,,,
Rosilene Arashiro,12/27/1985,638.688.013-03,rosilenearashiro@hotmail.com,hotmail,Financeiro,R$ 9.750,Sergipe,,,
Herbert Elias,11/8/1966,529.374.515-35,herbertelias@uol.com,uol,Financeiro,R$ 5.000,Amazonas,,,
Jorge Fernandes,10/13/1951,221.047.880-07,jorgefernandes@uol.com,uol,Marketing,R$ 18.750,Mato Grosso,,,
Nathan Palanycia,11/24/1973,989.887.683-40,nathanpalanycia@terra.com,terra,Administrativo,R$ 14.750,Rondônia,,,
Tatiane Moreira,10/17/1955,409.067.713-37,tatianemoreira@gmail.com,gmail,Comercial,R$ 3.000,Amazonas,,,
Bruno Moura,6/3/1983,640.207.228-65,brunomoura@gmail.com,gmail,Marketing,R$ 10.750,Rio De Janeiro,,,
Edson Afonso,12/9/2000,797.317.171-73,edsonafonso@gmail.com,gmail,Gestão,R$ 24.250,Minas Gerais,,,
Cleberson Port,12/11/1993,527.725.095-72,clebersonport@gmail.com,gmail,Marketing,R$ 3.250,Rio De Janeiro,,,
Geraldo Schardosin,10/25/1977,531.840.018-64,geraldoschardosin@gmail.com,gmail,Financeiro,R$ 5.000,Bahia,,,
Danilo Gonçalves,3/31/1993,610.545.048-72,danilogonçalves@globo.com,globo,Comercial,R$ 22.500,Bahia,,,
Alison Teixeira,2/24/1983,904.515.366-89,alisonteixeira@uol.com,uol,Financeiro,R$ 7.250,Amazonas,,,
Daniel Lira,10/24/1993,568.844.667-67,daniellira@gmail.com,gmail,Marketing,R$ 4.750,Pernambuco,,,
Marcelo Santos,2/14/1967,419.410.506-47,marcelosantos@gmail.com,gmail,Gestão,R$ 3.500,Rio De Janeiro,,,
Vanessa Rallo,7/23/1950,854.266.733-38,vanessarallo@terra.com,terra,Marketing,R$ 6.500,Amazonas,,,
Yasmin Gomes,6/22/1990,872.353.933-40,yasmingomes@outlook.com,outlook,Compras,R$ 19.500,Acre,,,
